,trade_date,open,high,close,low,vol,change
1785,20130304,2619.42,2619.574,2545.715,2528.694,110619103.0,-123.121
1784,20130305,2547.893,2623.171,2622.807,2541.766,89661152.0,77.092
1783,20130306,2634.87,2658.139,2650.202,2620.431,95829652.0,27.395
1782,20130307,2639.783,2658.969,2619.479,2592.867,94082666.0,-30.723
1781,20130308,2622.684,2632.624,2606.927,2601.961,59429557.0,-12.552
1780,20130311,2600.278,2611.652,2592.372,2574.172,50946436.0,-14.555
1779,20130312,2590.391,2619.512,2555.615,2530.251,71935141.0,-36.757
1778,20130313,2551.726,2556.773,2527.486,2515.058,56430460.0,-28.129
1777,20130314,2517.745,2546.699,2534.273,2514.463,47605756.0,6.787
1776,20130315,2533.722,2600.091,2539.873,2504.458,81372185.0,5.6
1775,20130318,2526.077,2544.619,2502.493,2499.828,59812778.0,-37.38
1774,20130319,2507.396,2532.07,2525.097,2491.854,54536476.0,22.604
1773,20130320,2526.968,2610.174,2610.174,2526.83,90700622.0,85.077
1772,20130321,2611.58,2626.538,2614.988,2598.509,69552756.0,4.814
1771,20130322,2612.256,2625.531,2618.308,2603.344,55647141.0,3.32
1770,20130325,2628.407,2641.609,2613.097,2607.613,56261402.0,-5.211
1769,20130326,2601.964,2607.357,2575.05,2554.974,63962961.0,-38.047
1768,20130327,2575.726,2611.939,2583.53,2566.345,56906517.0,8.48
1767,20130328,2535.988,2535.988,2499.302,2495.083,87578405.0,-84.228
1766,20130329,2502.782,2509.109,2495.083,2482.488,52402137.0,-4.219
1765,20130401,2486.428,2507.825,2493.187,2483.732,47346022.0,-1.896
1764,20130402,2495.843,2524.463,2486.391,2475.0,55684152.0,-6.796
1763,20130403,2493.877,2507.143,2483.547,2474.927,45564221.0,-2.844
1762,20130408,2443.24,2473.309,2472.299,2429.5,53296772.0,-11.248
1761,20130409,2477.29,2505.294,2489.43,2477.29,52389824.0,17.131
1760,20130410,2487.984,2495.572,2485.309,2466.19,47504913.0,-4.121
1759,20130411,2502.5,2508.593,2477.876,2476.396,42989958.0,-7.433
1758,20130412,2476.322,2489.118,2462.112,2460.182,39917278.0,-15.764
1757,20130415,2453.967,2461.668,2436.818,2430.149,46539734.0,-25.294
1756,20130416,2419.508,2461.046,2459.592,2416.617,55280613.0,22.774
1755,20130417,2457.881,2465.202,2458.473,2437.345,44692164.0,-1.119
1754,20130418,2440.707,2478.413,2464.851,2434.73,42860707.0,6.378
1753,20130419,2469.951,2542.453,2533.827,2469.323,75520876.0,68.976
1752,20130422,2525.113,2539.046,2530.67,2518.257,62511883.0,-3.157
1751,20130423,2532.201,2532.201,2449.471,2448.2,60653982.0,-81.199
1750,20130424,2452.781,2511.202,2495.579,2446.587,63050916.0,46.108
1749,20130425,2486.857,2505.482,2467.875,2456.566,60557927.0,-27.704
1748,20130426,2477.724,2488.585,2447.306,2439.796,47123378.0,-20.569
1747,20130502,2434.603,2453.749,2449.639,2423.077,47016088.0,2.333
1746,20130503,2457.543,2521.119,2492.912,2457.543,62330091.0,43.273
